BJ-OC-ctrl-000001:1	OC13_02060:250-580
BJ-OC-ctrl-020603:1	OC02_02528:490-720
BJ-OC-ctrl-020636:1	OC01_08630:10-180
BJ-OC-ctrl-020646:1	OC14_06416:10-260
BJ-OC-ctrl-020684:1	OC02_06934:10-150
BJ-OC-ctrl-020720:1	OC01_06098:1030-1080
BJ-OC-ctrl-020722:1	OC12_00146:1210-1390
BJ-OC-ctrl-020726:1	OC08_06296:10-210
BJ-OC-ctrl-020771:1	OC08_04002:620-680
BJ-OC-ctrl-020857:1	OC14_08823:1450-1560
BJ-OC-ctrl-020858:1	OC02_01967:530-770
BJ-OC-ctrl-020866:1	OC13_00315:580-700
BJ-OC-ctrl-020884:1	OC09_02129:160-230
BJ-OC-ctrl-020885:1	OC12_05122:680-980
BJ-OC-ctrl-020886:1	OC06_04239:1250-1620
BJ-OC-ctrl-020887:1	OC14_10847:880-980
BJ-OC-ctrl-020899:1	OC06_01382:1940-2140
BJ-OC-ctrl-020912:1	OC06_05760:800-960
BJ-OC-ctrl-020957:1	OC06_03243:240-340
BJ-OC-ctrl-020959:1	OC10_04125:1200-1370
BJ-OC-ctrl-020961:1	OC08_04067:220-410
BJ-OC-ctrl-021002:1	OC09_06327:1130-1350
BJ-OC-ctrl-021026:1	OC02_08702:760-1180
BJ-OC-ctrl-021030:1	OC09_12867:230-420
BJ-OC-ctrl-021080:1	OC12_04831:1030-1320
BJ-OC-ctrl-021117:1	OC01_08546:420-480
BJ-OC-ctrl-021126:1	OC13_01999:990-1250
BJ-OC-ctrl-021221:1	OC13_02102:650-750
BJ-OC-ctrl-021222:1	OC09_08374:1210-1310
BJ-OC-ctrl-021225:1	OC04_01252:550-790
BJ-OC-ctrl-021238:1	OC08_02263:10-280
BJ-OC-ctrl-021274:1	OC09_10259:850-930
BJ-OC-ctrl-021299:1	OC01_03183:140-340
BJ-OC-ctrl-021308:1	OC02_08656:10-570
BJ-OC-ctrl-021319:1	OC02_06483:90-280
BJ-OC-ctrl-021338:1	OC02_08158:150-440
BJ-OC-ctrl-021339:1	OC06_04125:580-870
BJ-OC-ctrl-021433:1	OC11_00774:300-370
BJ-OC-ctrl-021471:1	OC01_02556:1150-1480
BJ-OC-ctrl-021516:1	OC09_08979:10-120
BJ-OC-ctrl-021532:1	OC14_02249:2420-2500
BJ-OC-ctrl-021541:1	OC09_04913:2280-2440
BJ-OC-ctrl-021583:1	OC08_02882:10-170
BJ-OC-ctrl-021631:1	OC09_14600:2890-2970
BJ-OC-ctrl-021641:1	OC09_10875:1260-1480
BJ-OC-ctrl-021643:1	OC08_07162:90-170
BJ-OC-ctrl-021649:1	OC09_08147:940-1090
BJ-OC-ctrl-021685:1	OC09_07945:610-740
BJ-OC-ctrl-021694:1	OC09_08783:760-1130
BJ-OC-ctrl-021696:1	OC14_03551:1020-1210
BJ-OC-ctrl-021697:1	OC12_04763:1200-1380
BJ-OC-ctrl-021702:1	OC05_02068:800-1030
BJ-OC-ctrl-021725:1	OC10_01910:200-300
BJ-OC-ctrl-021730:1	OC13_01285:540-790
BJ-OC-ctrl-021780:1	OC01_04934:10-190
BJ-OC-ctrl-021828:1	OC02_08680:760-990
BJ-OC-ctrl-021833:1	OC02_05393:210-670
BJ-OC-ctrl-021835:1	OC14_07195:790-960
BJ-OC-ctrl-021836:1	OC13_03089:1430-1580
BJ-OC-ctrl-021844:1	OC01_01462:310-450
BJ-OC-ctrl-021874:1	OC01_01331:420-620
BJ-OC-ctrl-021884:1	OC13_03562:1190-1330
BJ-OC-ctrl-021899:1	OC14_09826:570-870
BJ-OC-ctrl-021911:1	OC09_03385:2960-3100
BJ-OC-ctrl-021927:1	OC01_05388:400-680
BJ-OC-ctrl-021970:1	OC02_02110:1880-2090
BJ-OC-ctrl-021989:1	OC02_08796:270-380
BJ-OC-ctrl-021999:1	OC14_05931:10-70
BJ-OC-ctrl-022090:1	OC09_08348:70-310
BJ-OC-ctrl-022103:1	OC14_05455:130-380
BJ-OC-ctrl-022168:1	OC03_00187:140-400
BJ-OC-ctrl-022184:1	OC12_02499:770-930
BJ-OC-ctrl-022200:1	OC13_02546:10-280
BJ-OC-ctrl-022302:1	OC06_05944:2750-2990
BJ-OC-ctrl-022324:1	OC01_06705:10-470
BJ-OC-ctrl-022332:1	OC09_07540:1770-1880
BJ-OC-ctrl-022334:1	OC06_04943:10-80
BJ-OC-ctrl-022426:1	OC08_07948:10-210
BJ-OC-ctrl-022867:1	OC12_05145:1010-1220
BJ-OC-ctrl-022981:1	OC14_09873:2670-2770
BJ-OC-ctrl-023004:1	OC02_00106:800-950
BJ-OC-ctrl-024252:1	OC01_02843:10-420
BJ-OC-ctrl-024626:1	OC01_07643:260-590
BJ-OC-ctrl-025181:1	OC12_02092:710-820
BJ-OC-ctrl-025533:1	OC02_05090:610-880
BJ-OC-ctrl-025552:1	OC02_03078:790-1110
BJ-OC-ctrl-025589:1	OC11_00531:10-580
